id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1285926459270406144,1285643091765080065,1595423733000,2020-07-22,10:15:33,-0300,139704156,anpuh,ANPUH-BRASIL #derrubaovetopl368,,"Lembramos sim, o deputado Marcelo Freixo se posicionou favorável em relação à derrubada do veto ao PL368. 

Manifestação do @MarceloFreixo: https://twitter.com/MarceloFreixo/status/1273962119264792576?s=19 …",pt,"['lokiegs76', 'marcelofreixo']",['https://twitter.com/MarceloFreixo/status/1273962119264792576?s=19'],[],0,0,1,[],[],https://twitter.com/ANPUH/status/1285926459270406144,False,https://twitter.com/MarceloFreixo/status/1273962119264792576,0,,,,,,,"[{'user_id': '139704156', 'username': 'ANPUH'}, {'user_id': '1249829578018820096', 'username': 'lokiegs76'}, {'user_id': '45870897', 'username': 'MarceloFreixo'}]",,,,
1291041539007877127,1291041539007877127,1596643263000,2020-08-05,13:01:03,-0300,45083460,petrobras,Petrobras,,"Concluímos a transferência das fábricas de fertilizantes nitrogenados da Bahia (Fafen-BA) e de Sergipe (Fafen-SE) para a Proquigel Química via arrendamento. Isso permitirá que as fábricas retomem sua operação sob nova direção, gerando novos empregos e atraindo investimentos. pic.twitter.com/FtCGduFldK",pt,[],[],['https://pbs.twimg.com/media/EeqzXMXWkAE3ZpP.jpg'],10,42,286,[],[],https://twitter.com/petrobras/status/1291041539007877127,False,,0,,,,,,,"[{'user_id': '45083460', 'username': 'petrobras'}]",,,,
1275822596928557066,1275822596928557066,1593014785000,2020-06-24,13:06:25,-0300,1158813209593307136,hideraldo_costa,Hideraldo Costa,,"Agradecemos o empenho do Deputado José Ricardo (PT-AM), por seu empenho na derrubada do veto a PL368 que regulamenta profissão de historiador. #Historiadoréprofissao",pt,[],[],[],0,0,0,['#historiadoréprofissao'],[],https://twitter.com/hideraldo_costa/status/1275822596928557066,False,,0,,,,,,,"[{'user_id': '1158813209593307136', 'username': 'hideraldo_costa'}]",,,,
1275821432556175360,1275821432556175360,1593014507000,2020-06-24,13:01:47,-0300,1158813209593307136,hideraldo_costa,Hideraldo Costa,,"@marceloramosam Deputado Marcelo Ramos. Nós da ANPUH-AM, Seção da ANPUH-BR, pedimos seu voto e empenho pela derrubada do VETO a PL368 que regulamenta profissão de historiador. Desde os anos de 1960 que estamos na briga pela regularização de nossa profissão. #derrubaovetopl368",pt,['marceloramosam'],[],[],0,1,0,['#derrubaovetopl368'],[],https://twitter.com/hideraldo_costa/status/1275821432556175360,False,,0,,,,,,,"[{'user_id': '1158813209593307136', 'username': 'hideraldo_costa'}, {'user_id': '42228966', 'username': 'marceloramosam'}]",,,,
1275799078476136448,1275799078476136448,1593009178000,2020-06-24,11:32:58,-0300,1158813209593307136,hideraldo_costa,Hideraldo Costa,,"@ANPUH Srs Deputado do Am. Nós da ANPUH-AM, Seção da ANPUH-BR, pedimos seus votos pela derrubada do VETO a PL368 que regulamenta profissão de historiador. Desde os anos de 1960 que estamos na briga pela regularização de nossa profissão. #derrubaovetopl368",pt,['anpuh'],[],[],0,1,1,['#derrubaovetopl368'],[],https://twitter.com/hideraldo_costa/status/1275799078476136448,False,,0,,,,,,,"[{'user_id': '1158813209593307136', 'username': 'hideraldo_costa'}, {'user_id': '139704156', 'username': 'ANPUH'}]",,,,
1275616294189125632,1275614846973861890,1592965598000,2020-06-23,23:26:38,-0300,1230569364820094979,raylanemarques6,Raylane Marques🚩,,"2 - A ação pela derrubada do veto ao PL368 não pode se transformar em uma armadilha. Mas o que isso quer dizer? Não podemos deixar que a nossa ação seja motivo de dispersão, deserção, abandono e evasão de historiadores e historiadoras de um ativismo digital que mal começou. (+)",pt,[],[],[],1,0,3,[],[],https://twitter.com/RaylaneMarques6/status/1275616294189125632,False,,0,,,,,,,"[{'user_id': '1230569364820094979', 'username': 'RaylaneMarques6'}]",,,,
1275614846973861890,1275614846973861890,1592965253000,2020-06-23,23:20:53,-0300,1230569364820094979,raylanemarques6,Raylane Marques🚩,,"Historiadores e historiadoras reclamando do agradecimento da Anpuh_Br ao Deputado Federal Alexandre Frota pelo apoio à derrubada do veto ao PL368. 

Sejamos mais precisos: (+)",pt,[],[],[],1,1,3,[],[],https://twitter.com/RaylaneMarques6/status/1275614846973861890,False,,0,,,,,,,"[{'user_id': '1230569364820094979', 'username': 'RaylaneMarques6'}]",,,,
1275595075469352962,1275595075469352962,1592960540000,2020-06-23,22:02:20,-0300,732066924897669121,playerdoiss,Luidimilla,,Obrigada @alefrota77 por seu apoio público à derrubado do veto ao PL368. As historiadoras e historiadores agradecem! #derrubaovetopl368 https://twitter.com/ANPUH/status/1275414309376528387 …,pt,['alefrota77'],['https://twitter.com/ANPUH/status/1275414309376528387'],[],1,0,5,['#derrubaovetopl368'],[],https://twitter.com/playerdoiss/status/1275595075469352962,False,https://twitter.com/ANPUH/status/1275414309376528387,0,,,,,,,"[{'user_id': '732066924897669121', 'username': 'playerdoiss'}, {'user_id': '1165773652190736384', 'username': 'alefrota77'}]",,,,
1275574769560309761,1275574769560309761,1592955698000,2020-06-23,20:41:38,-0300,1213163943666937856,edyxsd,Edy ✝️✊🤘,,"@venezianovital, caro Senador , gostaríamos de seu apoio público à derrubada do veto ao PL368 que regulamenta a profissão historiador. O projeto ajuda a criar novos empregos e a qualificar o debate público sobre história no Brasil. #derrubaovetopl368
@ANPUH",pt,"['venezianovital', 'anpuh']",[],[],0,0,1,['#derrubaovetopl368'],[],https://twitter.com/EdyxSD/status/1275574769560309761,False,,0,,,,,,,"[{'user_id': '1213163943666937856', 'username': 'EdyxSD'}, {'user_id': '56734024', 'username': 'venezianovital'}, {'user_id': '139704156', 'username': 'ANPUH'}]",,,,
1275489390551273478,1275462563606732800,1592935342000,2020-06-23,15:02:22,-0300,143153382,golmeir,Golda Meir #FicarEmCasaSalvaVidas,,E quanto a derrubada do veto do PL368/2009?,pt,['cirogomes'],[],[],0,0,0,[],[],https://twitter.com/Golmeir/status/1275489390551273478,False,,0,,,,,,,"[{'user_id': '143153382', 'username': 'Golmeir'}, {'user_id': '33374761', 'username': 'cirogomes'}]",,,,
1275453319838724097,1275385602117120000,1592926742000,2020-06-23,12:39:02,-0300,601057679,pedroernestufes,Pedro Ernesto UFES,,"Parabéns @orlandosilva.
Agora caro deputado, gostaríamos de seu apoio público à derrubada do veto ao PL368 que regulamenta a profissão historiador. O projeto ajuda a criar novos empregos e a qualificar o debate público sobre história no Brasil. #derrubaovetopl368",pt,['orlandosilva'],[],[],0,0,0,['#derrubaovetopl368'],[],https://twitter.com/PedroErnestUFES/status/1275453319838724097,False,,0,,,,,,,"[{'user_id': '601057679', 'username': 'PedroErnestUFES'}, {'user_id': '304092926', 'username': 'orlandosilva'}]",,,,
1275449532432564225,1275385602117120000,1592925839000,2020-06-23,12:23:59,-0300,139704156,anpuh,ANPUH-BRASIL #derrubaovetopl368,,"@orlandosilva, caro deputado, gostaríamos de seu apoio público à derrubada do veto ao PL368 que regulamenta a profissão historiador. O projeto ajuda a criar novos empregos e a qualificar o debate público sobre história no Brasil. #derrubaovetopl368",pt,['orlandosilva'],[],[],0,1,6,['#derrubaovetopl368'],[],https://twitter.com/ANPUH/status/1275449532432564225,False,,0,,,,,,,"[{'user_id': '139704156', 'username': 'ANPUH'}, {'user_id': '304092926', 'username': 'orlandosilva'}]",,,,
1275414309376528387,1275414309376528387,1592917442000,2020-06-23,10:04:02,-0300,139704156,anpuh,ANPUH-BRASIL #derrubaovetopl368,,Obrigada @alefrota77 por seu apoio público à derrubado do veto ao PL368. As historiadoras e historiadores agradecem! #derrubaovetopl368 https://twitter.com/alefrota77/status/1275193921761611777 …,pt,['alefrota77'],['https://twitter.com/alefrota77/status/1275193921761611777'],[],19,17,153,['#derrubaovetopl368'],[],https://twitter.com/ANPUH/status/1275414309376528387,False,https://twitter.com/alefrota77/status/1275193921761611777,0,,,,,,,"[{'user_id': '139704156', 'username': 'ANPUH'}, {'user_id': '1165773652190736384', 'username': 'alefrota77'}]",,,,
1275388968054542336,1275379242038108162,1592911400000,2020-06-23,08:23:20,-0300,1167875680262074368,naldinhoegd,Naldinho,,"URGENTE: 
@orlandosilva, caro deputado, gostaríamos de seu apoio público à derrubada do veto ao PL368 que regulamenta a profissão historiador. O projeto ajuda a criar novos empregos e a qualificar o debate público sobre história no Brasil. #derrubaovetopl368",pt,['orlandosilva'],[],[],0,3,8,['#derrubaovetopl368'],[],https://twitter.com/NaldinhoEGD/status/1275388968054542336,False,,0,,,,,,,"[{'user_id': '1167875680262074368', 'username': 'NaldinhoEGD'}, {'user_id': '304092926', 'username': 'orlandosilva'}]",,,,
1275277604661219329,1275277604661219329,1592884849000,2020-06-23,01:00:49,-0300,835964602718486529,jojopancada,Jojô Pancada,,"Alô @tabataamaralsp . Vai trair os trabalhadores de novo?

Não fica esperando a opiniçao do @LucianoHuck pra tomar uma decisão.

Vota pra derrubar o veto ao PL368.

#derrubaovetopl368 https://twitter.com/ANPUH/status/1275199532201054213 …",pt,"['tabataamaralsp', 'lucianohuck']",['https://twitter.com/ANPUH/status/1275199532201054213'],[],0,9,26,['#derrubaovetopl368'],[],https://twitter.com/jojopancada/status/1275277604661219329,False,https://twitter.com/ANPUH/status/1275199532201054213,0,,,,,,,"[{'user_id': '835964602718486529', 'username': 'jojopancada'}, {'user_id': '1001251931812220928', 'username': 'tabataamaralsp'}, {'user_id': '43023158', 'username': 'LucianoHuck'}]",,,,
1275223874398040064,1275223874398040064,1592872038000,2020-06-22,21:27:18,-0300,1158813209593307136,hideraldo_costa,Hideraldo Costa,,"@marceloramosam Sr Deputado, a Associação Nacional de História, ANPUH-BRASIL, necessita do seu apoio para derrubar o veto a PL368 que regulamenta a profissão de Historiador. Contamos com seu apoio.",pt,['marceloramosam'],[],[],0,0,0,[],[],https://twitter.com/hideraldo_costa/status/1275223874398040064,False,,0,,,,,,,"[{'user_id': '1158813209593307136', 'username': 'hideraldo_costa'}, {'user_id': '42228966', 'username': 'marceloramosam'}]",,,,
1275210262384181248,1275197896019902467,1592868793000,2020-06-22,20:33:13,-0300,601057679,pedroernestufes,Pedro Ernesto UFES,,"@orlandosilva caro deputado, sabendo de seu compromisso com a educação, gostaríamos de seu apoio público à derrubada do veto ao PL368, que regulamenta a profissão historiador. O projeto cria novos empregos e  qualifica o debate sobre história no Brasil. #derrubaovetopl368",pt,"['orlandosilva', 'governosp']",[],[],0,0,0,['#derrubaovetopl368'],[],https://twitter.com/PedroErnestUFES/status/1275210262384181248,False,,0,,,,,,,"[{'user_id': '601057679', 'username': 'PedroErnestUFES'}, {'user_id': '304092926', 'username': 'orlandosilva'}, {'user_id': '24746057', 'username': 'governosp'}]",,,,
1275204010535014400,1275204010535014400,1592867302000,2020-06-22,20:08:22,-0300,139704156,anpuh,ANPUH-BRASIL #derrubaovetopl368,,"@orlandosilva, caro deputado, gostaríamos de seu apoio público à derrubada do veto ao PL368 que regulamenta a profissão historiador. O projeto ajuda a criar novos empregos e a qualificar o debate público sobre história no Brasil. #derrubaovetopl368",pt,['orlandosilva'],[],[],3,1,20,['#derrubaovetopl368'],[],https://twitter.com/ANPUH/status/1275204010535014400,False,,0,,,,,,,"[{'user_id': '139704156', 'username': 'ANPUH'}, {'user_id': '304092926', 'username': 'orlandosilva'}]",,,,
1275203264762576897,1275203264762576897,1592867125000,2020-06-22,20:05:25,-0300,139704156,anpuh,ANPUH-BRASIL #derrubaovetopl368,,"@orlandosilva, caro deputado, sabendo de seu compromisso com a educação, gostaríamos de seu apoio público à derrubada do veto ao PL368, que regulamenta a profissão historiador. O projeto cria novos empregos e  qualifica o debate sobre história no Brasil. #derrubaovetopl368",pt,['orlandosilva'],[],[],0,0,3,['#derrubaovetopl368'],[],https://twitter.com/ANPUH/status/1275203264762576897,False,,0,,,,,,,"[{'user_id': '139704156', 'username': 'ANPUH'}, {'user_id': '304092926', 'username': 'orlandosilva'}]",,,,
1275199532201054213,1275199532201054213,1592866235000,2020-06-22,19:50:35,-0300,139704156,anpuh,ANPUH-BRASIL #derrubaovetopl368,,"Tábata Amaral @tabataamaralsp, depois de dois dias tentando, os historiadores desistem de pedir o seu apoio público. Imaginamos que você deve ter suas razões para não se manifestar. Ainda assim, esperamos poder contar com seu voto para derrubar o veto ao PL368. #derrubaovetopl368",pt,['tabataamaralsp'],[],[],43,106,674,['#derrubaovetopl368'],[],https://twitter.com/ANPUH/status/1275199532201054213,False,,0,,,,,,,"[{'user_id': '139704156', 'username': 'ANPUH'}, {'user_id': '1001251931812220928', 'username': 'tabataamaralsp'}]",,,,
1275178981218832386,1275173384507326467,1592861335000,2020-06-22,18:28:55,-0300,897969625249480704,jalesrenato,Renato Jales Silva,,"Oi deputada, por favor, não ignore nossa luta. Precisamos do seu apoio para derrubar o veto ao PL368.",pt,['tabataamaralsp'],[],[],0,0,1,[],[],https://twitter.com/JalesRenato/status/1275178981218832386,False,,0,,,,,,,"[{'user_id': '897969625249480704', 'username': 'JalesRenato'}, {'user_id': '1001251931812220928', 'username': 'tabataamaralsp'}]",,,,
1275178560098050050,1275173384507326467,1592861235000,2020-06-22,18:27:15,-0300,1084506222206861312,elzadantass,Elza,,"Olá deputada, não ignore nossa luta. Precisamos do seu apoio para derrubar o veto ao PL368.",pt,['tabataamaralsp'],[],[],0,0,1,[],[],https://twitter.com/elzadantass/status/1275178560098050050,False,,0,,,,,,,"[{'user_id': '1084506222206861312', 'username': 'elzadantass'}, {'user_id': '1001251931812220928', 'username': 'tabataamaralsp'}]",,,,
1291041539007877127,1291041539007877127,1596643263000,2020-08-05,13:01:03,-0300,45083460,petrobras,Petrobras,,"Concluímos a transferência das fábricas de fertilizantes nitrogenados da Bahia (Fafen-BA) e de Sergipe (Fafen-SE) para a Proquigel Química via arrendamento. Isso permitirá que as fábricas retomem sua operação sob nova direção, gerando novos empregos e atraindo investimentos. pic.twitter.com/FtCGduFldK",pt,[],[],['https://pbs.twimg.com/media/EeqzXMXWkAE3ZpP.jpg'],10,42,286,[],[],https://twitter.com/petrobras/status/1291041539007877127,False,,0,,,,,,,"[{'user_id': '45083460', 'username': 'petrobras'}]",,,,
1275177703952519173,1275173384507326467,1592861030000,2020-06-22,18:23:50,-0300,1223854090985394176,brmarques2,Brí Marques,,"Iae, vai fazer a egípcia? Faz uma pelo menos aí, apoia a @ANPUH p derrubar o veto ao PL368!",pt,"['tabataamaralsp', 'anpuh']",[],[],0,0,1,[],[],https://twitter.com/BrMarques2/status/1275177703952519173,False,,0,,,,,,,"[{'user_id': '1223854090985394176', 'username': 'BrMarques2'}, {'user_id': '1001251931812220928', 'username': 'tabataamaralsp'}, {'user_id': '139704156', 'username': 'ANPUH'}]",,,,
1275177003537387522,1275173384507326467,1592860863000,2020-06-22,18:21:03,-0300,80726833,leandroarndt,Leandro Arndt 🇧🇷😷 #ImpeachmentDoBolsonaro,,"Historiadores e historiadoras podem ajudar muito a compreender essa situação. Aliás, é preciso derrubar o veto à regulamentação dessa profissão - PL368.",pt,['tabataamaralsp'],[],[],0,0,1,[],[],https://twitter.com/LeandroArndt/status/1275177003537387522,False,,0,,,,,,,"[{'user_id': '80726833', 'username': 'LeandroArndt'}, {'user_id': '1001251931812220928', 'username': 'tabataamaralsp'}]",,,,
1275175187701473282,1275173384507326467,1592860431000,2020-06-22,18:13:51,-0300,139704156,anpuh,ANPUH-BRASIL #derrubaovetopl368,,"Oi deputada, por favor, não ignore nossa luta. Precisamos do seu apoio para derrubar o veto ao PL368.",pt,['tabataamaralsp'],[],[],1,0,13,[],[],https://twitter.com/ANPUH/status/1275175187701473282,False,,0,,,,,,,"[{'user_id': '139704156', 'username': 'ANPUH'}, {'user_id': '1001251931812220928', 'username': 'tabataamaralsp'}]",,,,
1275173502715297792,1275143420793827330,1592860029000,2020-06-22,18:07:09,-0300,601057679,pedroernestufes,Pedro Ernesto UFES,,"Oi Deputada, não vai se manifestar acerca da derrubado do veto ao PL368 que regulamentou a profissão historiador? Estamos desde domingo tentando chamar sua atenção para essa importante causa. #derrubaovetopl368",pt,['tabataamaralsp'],[],[],0,0,0,['#derrubaovetopl368'],[],https://twitter.com/PedroErnestUFES/status/1275173502715297792,False,,0,,,,,,,"[{'user_id': '601057679', 'username': 'PedroErnestUFES'}, {'user_id': '1001251931812220928', 'username': 'tabataamaralsp'}]",,,,
1275164081645813762,1275143420793827330,1592857783000,2020-06-22,17:29:43,-0300,139704156,anpuh,ANPUH-BRASIL #derrubaovetopl368,,"Oi Deputada, não vai se manifestar acerca da derrubado do veto ao PL368 que regulamentou a profissão historiador? Estamos desde domingo tentando chamar sua atenção para essa importante causa. #derrubaovetopl368",pt,['tabataamaralsp'],[],[],1,5,21,['#derrubaovetopl368'],[],https://twitter.com/ANPUH/status/1275164081645813762,False,,0,,,,,,,"[{'user_id': '139704156', 'username': 'ANPUH'}, {'user_id': '1001251931812220928', 'username': 'tabataamaralsp'}]",,,,
1275139452919300096,1275090853363671042,1592851911000,2020-06-22,15:51:51,-0300,139704156,anpuh,ANPUH-BRASIL #derrubaovetopl368,,"@MarceloFreixo já se posicionou favorável em relação à derrubada do veto ao PL368. Para saber os parlamentares que também já apoiaram nossa campanha veja a #apoioparlamentaranpuh.

Manifestação do @MarceloFreixo: https://twitter.com/MarceloFreixo/status/1273962119264792576?s=19 …",pt,"['vlabobomir', 'marcelofreixo']",['https://twitter.com/MarceloFreixo/status/1273962119264792576?s=19'],[],1,1,1,['#apoioparlamentaranpuh'],[],https://twitter.com/ANPUH/status/1275139452919300096,False,https://twitter.com/MarceloFreixo/status/1273962119264792576,0,,,,,,,"[{'user_id': '139704156', 'username': 'ANPUH'}, {'user_id': '67782189', 'username': 'Vlabobomir'}, {'user_id': '45870897', 'username': 'MarceloFreixo'}]",,,,
1275099067031396353,1275073456082530313,1592842282000,2020-06-22,13:11:22,-0300,601057679,pedroernestufes,Pedro Ernesto UFES,,"Obrigado por seu apoio Senador 
@Anastasia. Estamos juntos na luta pela derrubada do veto ao PL368. #derrubavetopl368",pt,"['anastasia', 'anpuh']",[],[],0,0,0,['#derrubavetopl368'],[],https://twitter.com/PedroErnestUFES/status/1275099067031396353,False,,0,,,,,,,"[{'user_id': '601057679', 'username': 'PedroErnestUFES'}, {'user_id': '74500609', 'username': 'Anastasia'}, {'user_id': '139704156', 'username': 'ANPUH'}]",,,,
1275089417754103808,1275073456082530313,1592839981000,2020-06-22,12:33:01,-0300,139704156,anpuh,ANPUH-BRASIL #derrubaovetopl368,,"Obrigado por seu apoio Senador 
@Anastasia. Estamos juntos na luta pela derrubada do veto ao PL368. #derrubavetopl368",pt,['anastasia'],[],[],2,1,9,['#derrubavetopl368'],[],https://twitter.com/ANPUH/status/1275089417754103808,False,,0,,,,,,,"[{'user_id': '139704156', 'username': 'ANPUH'}, {'user_id': '74500609', 'username': 'Anastasia'}]",,,,
1275086303130980357,1275086303130980357,1592839239000,2020-06-22,12:20:39,-0300,139704156,anpuh,ANPUH-BRASIL #derrubaovetopl368,,"Obrigado por seu apoio Senador @Anastasia Seu apoio é fundamental na derrubada do veto ao PL368. #derrubavetopl368 Pessoal, vamos agradecer na postagem do Senador. https://twitter.com/Anastasia/status/1275073463233867777 …",pt,['anastasia'],['https://twitter.com/Anastasia/status/1275073463233867777'],[],1,5,27,['#derrubavetopl368'],[],https://twitter.com/ANPUH/status/1275086303130980357,False,https://twitter.com/Anastasia/status/1275073463233867777,0,,,,,,,"[{'user_id': '139704156', 'username': 'ANPUH'}, {'user_id': '74500609', 'username': 'Anastasia'}]",,,,
1274814334053515267,1274807680071348232,1592774396000,2020-06-21,18:19:56,-0300,139704156,anpuh,ANPUH-BRASIL #derrubaovetopl368,,Nos ajude em nossa campanha pela derrubada do veto ao PL368! #derrubaovetopl368,pt,['thiagokrause2'],[],[],0,1,2,['#derrubaovetopl368'],[],https://twitter.com/ANPUH/status/1274814334053515267,False,,0,,,,,,,"[{'user_id': '139704156', 'username': 'ANPUH'}, {'user_id': '819369228', 'username': 'ThiagoKrause2'}]",,,,
1274748421031763969,1274748421031763969,1592758681000,2020-06-21,13:58:01,-0300,1242136743572312065,thurgregor,Arthur Gregório,,"@ANPUH @tabataamaralsp sabendo de seu ativismo pela educação, gostaríamos de seu apoio público à derrubada do veto ao PL368 que regulamenta a profissão historiador. O projeto ajuda a criar novos empregos e a qualificar o debate público sobre história no Brasil. #derrubaovetopl368",pt,"['anpuh', 'tabataamaralsp']",[],[],0,0,1,['#derrubaovetopl368'],[],https://twitter.com/thurgregor/status/1274748421031763969,False,,0,,,,,,,"[{'user_id': '1242136743572312065', 'username': 'thurgregor'}, {'user_id': '139704156', 'username': 'ANPUH'}, {'user_id': '1001251931812220928', 'username': 'tabataamaralsp'}]",,,,
1274748324323753984,1273731048069902336,1592758658000,2020-06-21,13:57:38,-0300,1242136743572312065,thurgregor,Arthur Gregório,,"@tabataamaralsp, sabendo de seu ativismo pela educação, gostaríamos de seu apoio público à derrubada do veto ao PL368 que regulamenta a profissão historiador. O projeto ajuda a criar novos empregos e a qualificar o debate público sobre história no Brasil. #derrubaovetopl368",pt,['tabataamaralsp'],[],[],0,0,0,['#derrubaovetopl368'],[],https://twitter.com/thurgregor/status/1274748324323753984,False,,0,,,,,,,"[{'user_id': '1242136743572312065', 'username': 'thurgregor'}, {'user_id': '1001251931812220928', 'username': 'tabataamaralsp'}]",,,,
